 87.0 18.5
 82.0 18.4
 92.0 17.6
 114.0 19.7
 94.0 20.5
 80.0 19.8
 79.0 15.6
 79.0 17.5
 101.0 19.6
 106.0 21.9
 101.0 19.3
 90.0 20.3
 72.0 19.6
 70.0 18.2
 83.0 17.4
 88.0 19.1
 145.0 24.6
 81.0 22.4
 121.0 24.2
 146.0 28.6
 121.0 25.2
 146.0 32.7
 108.0 23.5
 83.0 22.9
 57.0 22.4
 81.0 25.1
 67.0 23.4
 70.0 22.7
 106.0 28.4
 139.0 30.1
 79.0 18.8
 93.0 18.2
 97.0 23.7
 113.0 18.2
 72.0 21.2
 88.0 22.0
 77.0 20.7
 71.0 21.0
 56.0 17.3
 45.0 14.5
 67.0 18.6
 67.0 19.1
 84.0 20.4
 63.0 20.5
 69.0 15.6
 92.0 19.1
 88.0 20.3
 66.0 21.6
 72.0 21.9
 81.0 22.5
 83.0 22.5
 149.0 26.9
 153.0 27.7
 159.0 28.3
 149.0 27.6
 160.0 29.6
 156.0 30.5
 84.0 26.3
 126.0 29.5
 116.0 23.8
 77.0 18.2
 63.0 20.6
 54.0 18.7
 65.0 23.0
 72.0 21.6
 60.0 21.4
 70.0 17.1
 77.0 20.0
 98.0 22.8
 111.0 25.2
 75.0 20.5
 116.0 29.8
 109.0 23.7
 67.0 21.1
 76.0 21.3
 113.0 24.8
 117.0 26.9
 131.0 28.4
 166.0 27.2
 159.0 33.5
 100.0 22.9
 114.0 26.3
 112.0 24.4
 101.0 17.8
 76.0 18.6
 59.0 20.3
 78.0 20.2
 76.0 22.7
 55.0 16.8
 71.0 19.2
 66.0 18.9
 59.0 18.3
 68.0 20.8
 63.0 19.8
 78.0 22.2
 74.0 18.7
 71.0 17.9
 69.0 17.7
 71.0 17.7
 60.0 14.0
 42.0 14.3
 65.0 16.3
 71.0 18.0
 96.0 19.4
 98.0 19.7
 92.0 17.6
 76.0 17.7
 84.0 17.7
 77.0 20.8
 99.0 23.0
 83.0 19.8
 70.0 18.6
